Year,Total Unique Words,Total Words,Number of Speeches,Starting Year,President Name,Color,color Name,ticks,position,y_ticks,y_position,total_unique_words/number_of_speeches,y_ticksnew
1789-1796,2908,31529,21,1789,George Washington,#00FFFF,Aqua,,,,,138.4761904762,
1797-1800,1925,14693,9,1797,John Adams,#E5002B,red,,,,,213.8888888889,
1801-1809,2937,40211,24,1801,Thomas Jefferson,#7FFFD4,Aquamarine,,,,,122.375,
1809-1817,2725,33991,21,1809,James Madison,#8A2BE2,BlueViolet,,,,,129.7619047619,
1817-1824,2595,50351,10,1817,James Monroe,#A52A2A,Brown,,,,,259.5,
1821-1828,2761,37269,8,1821,John Quincy Adams,#5F9EA0,CadetBlue,1790,80,1000,530,345.125,60
1829-1837,4238,158389,26,1829,Andrew Jackson,#7FFF00,Chartreuse,,,,,163,
1837-1841,3223,65102,10,1837,Martin Van Buren,#D2691E,Chocolate,,,,,322.3,
1841-1841,1380,8465,1,1841,William Harrison,#DC143C,Crimson,,,,,1380,
1841-1845,3480,70076,18,1841,John Tyler,#00FFFF,#Cyan,,,,,193.3333333333,
1845-1849,3577,105272,25,1845,James Polk,#00008B,DarkBlue,,,,,143.08,
1849-1850,1644,11347,4,1849,Zachary Taylor,#B8860B,DarkGoldenRod,,,,,411,
1850-1852,3346,39294,7,1850,Millard Fillmore,#006400,DarkGreen,,,,,478,
1853-1856,3626,63780,15,1853,Franklin Pierce,#8B008B,DarkMagenta,,,,,241.7333333333,
1857-1861,3746,81667,14,1857,James Buchanan,#FF8C00,DarkOrange,1850,250,4000,380,267.5714285714,240
1861-1865,3940,96583,15,1861,Abraham Lincoln,#9932CC,DarkOrchid,,,,,262.6666666667,
1865-1868,4248,99304,31,1865,Andrew Johnson,#8B0000,DarkRed,,,,,137.0322580645,
1869-1877,4252,105151,32,1869,Ulysses Grant,#2F4F4F,DarkSlateGray,,,,,132.875,
1877-1881,3390,68584,16,1877,Rutherford Hayes,#00CED1,DarkTurquoise,,,,,211.875,
1881-1881,845,2985,1,1881,James Garfield,#FF1493,DeepPink,,,,,845,
1881-1884,3487,51146,11,1881,Chester Arthur,#228B22,ForestGreen,,,,,317,
1885-1897,5341,159249,31,1885,Grover Cleveland,#DCDCDC,Gainsboro,,,,,172.2903225806,
1889-1893,4308,77983,16,1889,Benjamin Harrison,#FFD700,Gold,,,,,269.25,
1897-1901,5014,93789,14,1897,William McKinley,#808080,Gray,1910,430,7000,230,358.1428571429,520
1901-1908,6149,199188,22,1901,Theodore Roosevelt,#ADFF2F,GreenYellow,,,,,279.5,
1909-1912,4732,120610,11,1909,William Taft,#CD5C5C,IndianRed,,,,,430.1818181818,
1913-1920,4046,75598,32,1913,Woodrow Wilson,#4B0082,Indigo,,,,,126.4375,
1917-1922,2863,28837,18,1917,Warren Harding,#A4620B,Dark Brown,,,,,159.0555555556,
1923-1928,4197,74968,12,1923,Calvin Coolidge,#F08080,LightCoral,,,,,349.75,
1928-1932,3758,81027,29,1928,Herbert Hoover,#ADD8E6,LightBlue,,,,,129.5862068966,
1933-1945,5080,131822,49,1933,Franklin Roosevelt,#00FF00,Lime,,,,,103.6734693878,
1945-1953,2874,37179,19,1945,Harry Truman,#20B2AA,LightSeaGreen,,,,,151.2631578947,
1953-1961,2356,18176,6,1953,Dwight Eisenhower,#FF00FF,Magenta,1970,615,10000,80,392.6666666667,700
1960-1963,5422,163065,45,1960,John Kennedy,#191970,MidnightBlue,,,,,120.4888888889,
1963-1969,6062,253585,71,1963,Lyndon Johnson,#808000,Olive,,,,,85.3802816901,
1969-1974,3371,68394,23,1969,Richard Nixon,#FF4500,Orange,,,,,146.5652173913,
1974-1977,3150,40851,14,1974,Gerald Ford,#DA70D6,Orchid,,,,,225,
1976-1981,4118,103771,22,1976,Jimmy Carter,#FF4500,OrangeRed,,,,,187.1818181818,
1981-1989,6830,219135,59,1981,Ronald Reagan,#DDA0DD,Plum,2010,750,,,115.7627118644,
1988-1993,4561,102214,23,1988,George H. W. Bush,#FA8072,Salmon,,,,,198.3043478261,
1993-2001,5197,150100,39,1993,Bill Clinton,#C0C0C0,Silver,,,,,133.2564102564,
2001-2009,3323,46159,12,2001,George W. Bush,#FFFF00,Yellow,,,,,276.9166666667,
2008-2010,2904,34632,7,2008,Barack Obama,#FF6347,Tomato,,,,,414.8571428571,
